12:11:2-29_WARN_No_Injection	1
12:15:2-29_INFO_Injection	3
12:15:3-39_INFO_No_Injection	1751
12:15:3-39_WARN_Injection	49
12:15:3-39_WARN_No_Injection	440
12:15:4-49_DEBUG_No_Injection	259
12:15:4-49_ERROR_No_Injection	23
12:15:5-59_DEBUG_No_Injection	245
12:15:5-59_ERROR_Injection	3
12:15:5-59_ERROR_No_Injection	27
12:15:5-59_INFO_Injection	148
12:15:5-59_INFO_No_Injection	1678
12:16:0-09_WARN_Injection	31
12:16:0-09_WARN_No_Injection	414
12:16:2-29_INFO_No_Injection	1653
12:16:2-29_WARN_No_Injection	424
12:16:3-39_DEBUG_No_Injection	252
12:16:3-39_ERROR_Injection	2
12:16:3-39_ERROR_No_Injection	24
12:16:3-39_INFO_Injection	134
12:16:4-49_ERROR_Injection	3
12:16:4-49_WARN_Injection	35
12:16:5-59_DEBUG_Injection	15
12:16:5-59_WARN_No_Injection	448
12:17:0-09_ERROR_Injection	1
12:17:0-09_INFO_Injection	124
12:17:1-19_DEBUG_No_Injection	238
12:17:1-19_ERROR_Injection	2
12:17:1-19_ERROR_No_Injection	18
12:17:1-19_INFO_No_Injection	1525
12:17:2-29_DEBUG_Injection	19
12:17:2-29_DEBUG_No_Injection	229
12:17:2-29_WARN_Injection	33
12:17:3-39_DEBUG_Injection	15
12:17:4-49_INFO_Injection	104
12:17:4-49_INFO_No_Injection	1431
12:17:4-49_WARN_No_Injection	395
12:17:5-59_ERROR_No_Injection	27
12:17:5-59_WARN_Injection	32
12:18:0-09_DEBUG_Injection	20
12:18:0-09_DEBUG_No_Injection	232
12:18:0-09_ERROR_No_Injection	23
12:18:0-09_INFO_No_Injection	1452
12:18:1-19_WARN_No_Injection	508
12:18:2-29_INFO_Injection	122
12:18:3-39_INFO_No_Injection	1532
12:18:3-39_WARN_Injection	34
12:18:3-39_WARN_No_Injection	441
12:18:4-49_DEBUG_No_Injection	318
12:18:4-49_ERROR_No_Injection	44
12:18:5-59_DEBUG_No_Injection	264
12:18:5-59_ERROR_Injection	3
12:18:5-59_INFO_No_Injection	1705
12:19:0-09_WARN_Injection	32
12:19:0-09_WARN_No_Injection	504
12:19:1-19_WARN_Injection	36
12:19:2-29_ERROR_Injection	2
12:19:2-29_ERROR_No_Injection	17
12:19:2-29_INFO_No_Injection	1837
12:19:2-29_WARN_No_Injection	474
12:19:3-39_DEBUG_No_Injection	245
12:19:3-39_ERROR_Injection	3
12:19:3-39_ERROR_No_Injection	23
12:19:3-39_INFO_Injection	144
12:19:4-49_DEBUG_Injection	18
12:19:4-49_ERROR_Injection	1
12:19:4-49_WARN_Injection	27
12:19:5-59_DEBUG_Injection	19
12:19:5-59_WARN_Injection	32
12:19:5-59_WARN_No_Injection	494
12:20:0-09_DEBUG_Injection	17
12:20:0-09_DEBUG_No_Injection	257
12:20:0-09_ERROR_No_Injection	20
12:20:0-09_INFO_Injection	160
12:20:0-09_INFO_No_Injection	1789
12:20:1-19_DEBUG_No_Injection	243
12:20:1-19_WARN_Injection	41
12:20:1-19_WARN_No_Injection	467
12:20:3-39_INFO_Injection	72
12:20:3-39_INFO_No_Injection	1061
12:20:4-49_DEBUG_No_Injection	150
12:20:4-49_ERROR_No_Injection	12
12:20:4-49_INFO_Injection	68
12:20:5-59_DEBUG_No_Injection	145
12:20:5-59_ERROR_Injection	1
12:20:5-59_ERROR_No_Injection	16
12:20:5-59_WARN_Injection	26
12:21:0-09_WARN_No_Injection	526
12:21:1-19_ERROR_Injection	1
12:21:1-19_INFO_Injection	130
12:21:2-29_ERROR_Injection	1
12:21:2-29_INFO_No_Injection	1799
12:21:2-29_WARN_Injection	44
12:21:3-39_DEBUG_No_Injection	248
12:21:3-39_ERROR_No_Injection	23
12:21:4-49_DEBUG_Injection	18
12:21:5-59_DEBUG_Injection	14
12:21:5-59_INFO_Injection	101
12:21:5-59_INFO_No_Injection	1570
12:21:5-59_WARN_No_Injection	427
12:22:0-09_ERROR_Injection	6
12:22:0-09_WARN_Injection	28
12:28:4-49_INFO_No_Injection	6
12:28:4-49_WARN_No_Injection	1
12:58:0-09_INFO_Injection	1
ERROR_INJECTION_OCCURRENCES_DURING_12:16:1-19	2
ERROR_INJECTION_OCCURRENCES_DURING_12:16:4-49	3
ERROR_INJECTION_OCCURRENCES_DURING_12:17:2-29	1
ERROR_INJECTION_OCCURRENCES_DURING_12:17:5-59	1
ERROR_INJECTION_OCCURRENCES_DURING_12:18:3-39	1
ERROR_INJECTION_OCCURRENCES_DURING_12:19:1-19	2
ERROR_INJECTION_OCCURRENCES_DURING_12:19:4-49	1
ERROR_INJECTION_OCCURRENCES_DURING_12:20:2-29	1
ERROR_INJECTION_OCCURRENCES_DURING_12:20:5-59	1
ERROR_INJECTION_OCCURRENCES_DURING_12:21:0-09	6
Max_Characters_ERROR	108
Max_Characters_INFO	158
Max_Characters_WARN	145
Total_Generated_ERROR	998
12:11:2-29_INFO_Injection	1
12:15:2-29_DEBUG_No_Injection	6
12:15:2-29_ERROR_No_Injection	2
12:15:2-29_INFO_No_Injection	37
12:15:2-29_WARN_No_Injection	20
12:15:3-39_DEBUG_Injection	18
12:15:4-49_DEBUG_Injection	16
12:15:4-49_INFO_Injection	111
12:15:5-59_WARN_Injection	37
12:15:5-59_WARN_No_Injection	464
12:16:0-09_DEBUG_Injection	20
12:16:0-09_DEBUG_No_Injection	218
12:16:0-09_ERROR_No_Injection	20
12:16:1-19_DEBUG_Injection	16
12:16:1-19_INFO_Injection	121
12:16:1-19_INFO_No_Injection	1600
12:16:2-29_INFO_Injection	106
12:16:3-39_WARN_Injection	39
12:16:4-49_DEBUG_No_Injection	263
12:16:4-49_ERROR_No_Injection	30
12:16:4-49_INFO_No_Injection	1707
12:16:4-49_WARN_No_Injection	451
12:16:5-59_DEBUG_No_Injection	233
12:16:5-59_ERROR_Injection	3
12:16:5-59_INFO_Injection	124
12:17:0-09_INFO_No_Injection	1793
